block,time_range,signal_samples,duration,peaks,avg_interval,std_interval
block1,0s to 70s,2432,69.96774554252625,23,2.477017196741971,1.2914176143382243
block2,70s to 125s,1928,54.98650527000427,17,2.894315376877784,0.7481279131107524
block3,125s to 185s,2101,59.95693254470824,19,2.717479878001743,0.8511167896682976
block4,200s to 280s,2790,79.94042706489563,17,2.8426676392555255,0.8236643088894513
