participant,peak_number,peak_index,timestamp,amplitude,detection_method,added_peak
P12,1,304,8.733122665900602,0.0152136425749985,balanced_cleaned,False
P12,2,443,12.726228095374893,0.0178763098173755,balanced_cleaned,False
P12,3,586,16.83424303361103,0.0222968229402047,balanced_cleaned,False
P12,4,727,20.88480321746624,0.0187826795290505,balanced_cleaned,False
P12,5,869,24.96409077851192,0.0184887758818578,balanced_cleaned,False
P12,6,1005,28.87101407641482,0.0154153050922546,balanced_cleaned,False
P12,7,1147,32.9503016374605,0.0146927190547118,balanced_cleaned,False
P12,8,1288,37.00086182131571,0.0147643425114144,balanced_cleaned,False
P12,9,1433,41.166331513932775,0.0137940741089622,balanced_cleaned,False
P12,10,1567,45.015800057454754,0.0178352095794712,balanced_cleaned,False
P12,11,1707,49.0376328641195,0.0170382616387957,balanced_cleaned,False
P12,12,1845,53.00201091640333,0.0183897189931562,balanced_cleaned,False
P12,13,1986,57.05257110025854,0.0161008754683619,balanced_cleaned,False
P12,14,2127,61.10313128411376,0.0180702047674491,balanced_cleaned,False
P12,15,2273,65.29732835392129,0.0155063513045942,balanced_cleaned,False
P12,16,2406,69.1180695202528,0.0208424364066826,balanced_cleaned,False
P12,17,2549,73.22608445848894,0.0137671870470947,balanced_cleaned,False
P12,18,2688,77.21918988796322,0.0143369002716002,balanced_cleaned,False
P12,19,2824,81.12611318586613,0.0170339799037843,balanced_cleaned,False
P12,20,2970,85.32031025567365,0.0130075964256938,balanced_cleaned,False
P12,21,3018,86.69922436081585,0.0168128457684024,balanced_cleaned,False
P12,22,3115,89.48577994829071,0.0155399566474854,balanced_cleaned,False
P12,23,3252,93.42143062338408,0.0107609824768279,balanced_cleaned,False
P12,24,3399,97.64435507038206,0.0263236592724378,balanced_cleaned,False
P12,25,3536,101.58000574547545,0.0213134300114478,balanced_cleaned,False
P12,26,3669,105.40074691180696,0.0209933575826043,balanced_cleaned,False
P12,27,3813,109.53748922723356,0.019048381263825,balanced_cleaned,False
P12,28,3948,113.41568514794598,0.0193750757245159,balanced_cleaned,False
P12,29,4095,117.63860959494396,0.0204657494090761,balanced_cleaned,False
P12,30,4236,121.68916977879918,0.0188895108282602,balanced_cleaned,False
P12,31,4372,125.59609307670208,0.0166055355655642,balanced_cleaned,False
P12,32,4511,129.5891985061764,0.0172181675865379,balanced_cleaned,False
P12,33,4661,133.89830508474574,0.0138633065832476,balanced_cleaned,False
P12,34,4793,137.6903188738868,0.0172063643374114,balanced_cleaned,False
P12,35,4936,141.79833381212293,0.0166635605676709,balanced_cleaned,False
P12,36,5068,145.590347601264,0.0196932816091411,balanced_cleaned,False
P12,37,5211,149.69836253950012,0.0172029942110962,balanced_cleaned,False
P12,38,5350,153.69146796897442,0.0190533229994247,balanced_cleaned,False
P12,39,5498,157.94311979316288,0.0187451147057699,balanced_cleaned,False
P12,40,5629,161.70640620511347,0.0182614203814234,balanced_cleaned,False
P12,41,5772,165.8144211433496,0.0213370992989493,balanced_cleaned,False
P12,42,5915,169.92243608158574,0.0179662328788191,balanced_cleaned,False
P12,43,6058,174.03045101982187,0.0192679837533957,balanced_cleaned,False
P12,44,6200,178.10973858086754,0.0197197526316068,balanced_cleaned,False
P12,45,6340,182.13157138753232,0.0141696311326455,balanced_cleaned,False
P12,46,6480,186.1534041941971,0.0205890569299321,balanced_cleaned,False
P12,47,6618,190.11778224648089,0.0179637569411537,balanced_cleaned,False
P12,48,6759,194.16834243033608,0.0219402806343491,balanced_cleaned,False
P12,49,6917,198.7072680264292,0.0199749305827108,balanced_cleaned,False
