participant,peak_number,peak_index,timestamp,amplitude,detection_method,added_peak
P2,1,144,4.136742315426601,0.013056811962889,balanced_cleaned,False
P2,2,282,8.101120367710427,0.0208953386883389,balanced_cleaned,False
P2,3,422,12.122953174375178,0.0161385487245537,balanced_cleaned,False
P2,4,566,16.25969548980178,0.0209638354467941,balanced_cleaned,False
P2,5,706,20.281528296466533,0.0253700575942756,balanced_cleaned,False
P2,6,843,24.217178971559896,0.023627916199782,balanced_cleaned,False
P2,7,981,28.18155702384372,0.0259357557887252,balanced_cleaned,False
P2,8,1122,32.232117207698934,0.0267333761149616,balanced_cleaned,False
P2,9,1263,36.282677391554145,0.0226338289581662,balanced_cleaned,False
P2,10,1402,40.27578282102843,0.0277555124276456,balanced_cleaned,False
P2,11,1538,44.182706118931335,0.0223566827750587,balanced_cleaned,False
P2,12,1729,49.669635162309675,0.0214529534262665,balanced_cleaned,False
P2,13,1970,56.59293306521114,0.023769475227212,balanced_cleaned,False
P2,14,2106,60.49985636311404,0.0276589416764273,balanced_cleaned,False
P2,15,2244,64.46423441539787,0.0253484369411654,balanced_cleaned,False
P2,16,2383,68.45733984487215,0.0303510660822724,balanced_cleaned,False
P2,17,2526,72.56535478310829,0.028384955056689,balanced_cleaned,False
P2,18,2663,76.50100545820166,0.0300928557712518,balanced_cleaned,False
P2,19,2802,80.49411088767594,0.0266067819446318,balanced_cleaned,False
P2,20,2945,84.60212582591208,0.0238696696968433,balanced_cleaned,False
P2,21,3090,88.76759551852915,0.0202816803523697,balanced_cleaned,False
P2,22,3226,92.67451881643206,0.0210439652220065,balanced_cleaned,False
P2,23,3365,96.66762424590634,0.022077999165301,balanced_cleaned,False
P2,24,3509,100.80436656133294,0.0220770618852349,balanced_cleaned,False
P2,25,3647,104.76874461361678,0.019026786251291,balanced_cleaned,False
P2,26,3790,108.87675955185291,0.0146523939355052,balanced_cleaned,False
P2,27,3934,113.01350186727952,0.0177371585053657,balanced_cleaned,False
P2,28,4074,117.03533467394426,0.0185668248604513,balanced_cleaned,False
P2,29,4173,119.87934501580006,0.014853750390277,balanced_cleaned,False
P2,30,4352,125.02154553289284,0.0158559683826962,balanced_cleaned,False
P2,31,4487,128.8997414536053,0.0195138924659129,balanced_cleaned,False
P2,32,4631,133.0364837690319,0.0202526774120543,balanced_cleaned,False
P2,33,4768,136.97213444412523,0.0198127732093051,balanced_cleaned,False
P2,34,4908,140.99396725079,0.0201471155964895,balanced_cleaned,False
P2,35,5047,144.98707268026428,0.0241759227479139,balanced_cleaned,False
P2,36,5190,149.09508761850043,0.0183162437686108,balanced_cleaned,False
P2,37,5330,153.11692042516518,0.0221574475611909,balanced_cleaned,False
P2,38,5467,157.05257110025855,0.0323420946322544,balanced_cleaned,False
P2,39,5609,161.13185866130422,0.0117783930575491,balanced_cleaned,True
P2,40,5747,165.09623671358804,0.0152404986439537,balanced_cleaned,False
P2,41,5895,169.3478885377765,0.0153224708570812,balanced_cleaned,False
P2,42,6034,173.34099396725077,0.0161656566632457,balanced_cleaned,False
P2,43,6169,177.2191898879632,0.0144514987097219,balanced_cleaned,False
P2,44,6311,181.29847744900889,0.0122625495227202,balanced_cleaned,False
P2,45,6447,185.2054007469118,0.0150107397126421,balanced_cleaned,False
P2,46,6587,189.22723355357655,0.016283205848336,balanced_cleaned,False
P2,47,6728,193.27779373743175,0.0171484203166653,balanced_cleaned,False
P2,48,6870,197.35708129847745,0.0184081028335872,balanced_cleaned,False
P2,49,7009,201.35018672795172,0.0135807645896078,balanced_cleaned,False
P2,50,7172,206.03274920999712,0.016381124954017,balanced_cleaned,False
