participant,peak_number,peak_index,timestamp,amplitude,detection_method,added_peak
P7,1,130,3.7345590347601263,0.0142761923698607,balanced_cleaned,False
P7,2,268,7.698937087043952,0.0146667384238573,balanced_cleaned,False
P7,3,406,11.66331513932778,0.0169071284634313,balanced_cleaned,False
P7,4,547,15.713875323182991,0.0151553682698797,balanced_cleaned,False
P7,5,687,19.735708129847744,0.0166317834641958,balanced_cleaned,False
P7,6,820,23.556449296179256,0.0150984545420732,balanced_cleaned,False
P7,7,958,27.520827348463083,0.028433504217998,balanced_cleaned,False
P7,8,1102,31.657569663889685,0.0141438067551041,balanced_cleaned,False
P7,9,1237,35.535765584602125,0.01216148841885,balanced_cleaned,False
P7,10,1386,39.81614478598104,0.0120546228272253,balanced_cleaned,False
P7,11,1527,43.86670496983625,0.0145913623357027,balanced_cleaned,False
P7,12,1666,47.85981039931054,0.0155821178906642,balanced_cleaned,False
P7,13,1806,51.881643205975294,0.0137126023344939,balanced_cleaned,False
P7,14,1945,55.87474863544958,0.0175374178569834,balanced_cleaned,False
P7,15,2084,59.86785406492387,0.0147017856471226,balanced_cleaned,False
P7,16,2225,63.91841424877908,0.0144045066480874,balanced_cleaned,False
P7,17,2367,67.99770180982476,0.0098573309601664,balanced_cleaned,False
P7,18,2504,71.93335248491812,0.013874845469235,balanced_cleaned,False
P7,19,2631,75.58172938810687,0.0102590192010677,balanced_cleaned,False
P7,20,2785,80.00574547543809,0.0113945624343019,balanced_cleaned,False
P7,21,2926,84.0563056592933,0.0161045823143131,balanced_cleaned,False
P7,22,3066,88.07813846595805,0.0102779234868601,balanced_cleaned,False
P7,23,3214,92.3297902901465,0.0227080821870034,balanced_cleaned,False
P7,24,3349,96.20798621085896,0.0133395299704137,balanced_cleaned,False
P7,25,3477,99.88509049123816,0.0133826011517713,balanced_cleaned,False
P7,26,3629,104.25165182418844,0.0126788690702459,balanced_cleaned,False
P7,27,3766,108.1873024992818,0.0173370681685844,balanced_cleaned,False
P7,28,3911,112.35277219189886,0.0125874318145274,balanced_cleaned,False
P7,29,4052,116.40333237575408,0.0098743738866017,balanced_cleaned,False
P7,30,4196,120.54007469118068,0.0148545651319107,balanced_cleaned,False
P7,31,4339,124.64808962941684,0.0141451836406539,balanced_cleaned,False
P7,32,4476,128.5837403045102,0.012059545383119,balanced_cleaned,False
P7,33,4617,132.6343004883654,0.0145324889300554,balanced_cleaned,False
P7,34,4753,136.5412237862683,0.0115623283788572,balanced_cleaned,False
P7,35,4895,140.620511347314,0.0123492537840778,balanced_cleaned,False
P7,36,5033,144.5848893995978,0.0108488512226113,balanced_cleaned,False
P7,37,5172,148.57799482907208,0.0157099187774116,balanced_cleaned,False
P7,38,5312,152.59982763573686,0.0172859884641913,balanced_cleaned,False
P7,39,5453,156.65038781959203,0.0136990044165116,balanced_cleaned,False
P7,40,5579,160.27003734559034,0.0135135563316532,balanced_cleaned,False
P7,41,5726,164.49296179258832,0.0140698921937376,balanced_cleaned,False
P7,42,5872,168.68715886239585,0.0132489334475087,balanced_cleaned,False
P7,43,6008,172.59408216029874,0.0115387260662803,balanced_cleaned,False
P7,44,6134,176.21373168629702,0.0177824949607603,balanced_cleaned,False
P7,45,6289,180.6664751508187,0.0168500983663264,balanced_cleaned,False
P7,46,6437,184.91812697500717,0.0156942767429172,balanced_cleaned,False
