filename,spikes_removed,negatives_fixed,original_mean,original_std,original_min,original_max,cleaned_mean,cleaned_std,cleaned_min,cleaned_max
RMS_healthy_P1_34p81hz_processed.csv,11,0,0.00812031177054535,0.003318041003759655,-0.0045801754010556,0.0319550105033369,0.008117130352084551,0.003285909920020878,0.0010584820861697,0.0285371776104078
RMS_healthy_P9_34p81hz_processed.csv,24,6,0.0072829199998945965,0.0107387372665358,-0.18211669877012,0.2447380193251774,0.007280371331173929,0.00932437525933607,1.401230164810468e-05,0.2119987821119899
RMS_healthy_P3_34p81hz_processed.csv,49,0,0.007757767505702346,0.0013046859128401783,-0.0066360616829622,0.02659464779515,0.007760593010892296,0.0011973983755910118,0.0048074859920517,0.017544408381224
RMS_stroke_34p81hz_processed.csv,0,0,0.00726808766972829,0.004110263216443109,0.0044783807489,0.0251606387630409,0.00726808766972829,0.004110263216443109,0.0044783807489,0.0251606387630409
RMS_healthy_P14_34p81hz_processed.csv,29,7,0.005551041514919245,0.0031675996254506844,-0.0240821945621808,0.0987067985243385,0.005574480092554763,0.003031824434123741,0.0006502914111862,0.0987067985243385
RMS_healthy_P12_34p81hz_processed.csv,9,3,0.004398445560624369,0.003111735721554101,-0.004329185752312,0.0263236592724378,0.004406360462783765,0.0031018255113749826,0.0002986907576363,0.0263236592724378
RMS_healthy_P5_34p81hz_processed.csv,31,9,0.00620813744110009,0.004856006018169,-0.0393312650170185,0.0774442885954272,0.006229864569541143,0.004415432392764056,0.0001011103856567,0.0774442885954272
RMS_healthy_P10_34p81hz_processed.csv,16,36,0.009890567630625442,0.013120004673931233,-0.0522460453297152,0.1233917643850906,0.009970544427699317,0.012766050199728467,-0.0076445018752271466,0.1140402758481216
RMS_healthy_P7_34p81hz_processed.csv,8,8,0.006487548407218458,0.007796260777376499,-0.3370520553626036,0.4136394033990412,0.006529248761776983,0.0017675310148553315,0.00044321289487017054,0.02843350421799808
RMS_healthy_P8_34p81hz_processed.csv,23,16,0.004193665182873561,0.003749632566362412,-0.0194370017432321,0.0547476575928007,0.004212580885371652,0.003578038451832912,9.482735051721255e-06,0.0486889876518746
RMS_healthy_P15_34p81hz_processed.csv,19,0,0.004558023844026711,0.001800834776404477,-0.0046949178893383,0.0285125436617103,0.004558489725368674,0.0017639731343681352,0.0013526101218762,0.0181763087670209
RMS_healthy_P2_34p81hz_processed.csv,10,3,0.0069946099523637215,0.003549799338758234,-0.0187811735247615,0.0323420946322544,0.007002053700174854,0.00350673734634183,0.000735641044929,0.0323420946322544
RMS_healthy_P4_34p81hz_processed.csv,15,9,0.005807957015926678,0.004833931060222167,-0.0086456789072017,0.0527718465880813,0.005818443036422973,0.004778543726852799,0.0001105621991618,0.0497905260507059
RMS_healthy_P13_34p81hz_processed.csv,24,3,0.0033600504913282618,0.0016764795243654415,-0.0483998452387109,0.0603389036617587,0.003360794979117854,0.0013402456078479437,0.0005173705301238,0.0166685576855272
RMS_ALS_34p81hz.csv,1,0,0.0035331130491210927,0.0021534479052243128,0.0013714834006842,0.0151044509268295,0.003533151454619186,0.0021535306292134334,0.0013714834006842,0.0151044509268295
RMS_healthy_P6_34p81hz_processed.csv,8,1,0.009466467650599995,0.004976173971406924,-0.0043156276078197,0.0524702351311996,0.009464861000254853,0.004932811983053581,0.0007153541406894,0.0464816900775861
RMS_SMA_34p81hz_processed.csv,0,0,0.005747053919317075,0.005227267914932755,0.0007608298997013,0.029422181455014,0.005747053919317075,0.005227267914932755,0.0007608298997013,0.029422181455014
RMS_healthy_P11_34p81hz_processed.csv,32,26,0.007483364978473081,0.011017399642007172,-0.1324575335270435,0.2112250339196139,0.007572045992649803,0.009989180034820466,3.784614226015036e-05,0.0780776272834847
